phase,step,conditions_passed,conditions_total,success,condition_1_margin_cm,condition_2_margin_cm,condition_3_margin_cm,condition_4_margin_cm
policy,1,2,4,False,-6.989106784136277,-6.021534946114231,5.968132446414067,5.345040466867559
policy,2,2,4,False,-6.9966148185039785,-6.020398096644744,5.970311615705636,5.346403130512233
policy,3,2,4,False,-6.998108280103997,-6.021499363075494,5.9743998784464765,5.34608184308059
policy,4,2,4,False,-7.000718353717918,-6.019312365836068,5.9749387501421936,5.348483758876615
policy,5,2,4,False,-7.002378582657348,-6.024595128721792,5.9776596257084975,5.34609047354153
policy,6,2,4,False,-7.0051330711267354,-6.022820916755817,5.975336268307245,5.347835724179344
policy,7,2,4,False,-7.009553247468439,-6.022364790109892,5.978913077466398,5.351826062578439
policy,8,2,4,False,-7.011886551231514,-6.022996992479726,5.985279784217763,5.349023460166052
policy,9,2,4,False,-7.016768431448272,-6.026683761214599,5.985093034877103,5.35009665805471
policy,10,2,4,False,-7.018746715055983,-6.026477682310988,5.990548312402609,5.350915152998866
policy,11,2,4,False,-7.022199535985086,-6.02640996709766,5.993241690211665,5.350776285766031
policy,12,2,4,False,-7.02337491654637,-6.029387094391394,5.995802350570312,5.351175024658819
policy,13,2,4,False,-7.027160700848926,-6.024285932533946,5.995521302005692,5.353847378221435
policy,14,2,4,False,-7.030682277618325,-6.031264600361704,6.001219923504518,5.352587921128727
policy,15,2,4,False,-7.035169965238699,-6.0222758081798595,6.001039370531846,5.356361444198932
policy,16,2,4,False,-7.040450901022,-6.031243108474937,6.008430208581608,5.353767806465861
policy,17,2,4,False,-7.04281525492765,-6.023807791700017,6.012101499055852,5.358135120482949
policy,18,2,4,False,-7.042202507999043,-6.0308226181353835,6.007962044827995,5.356262656503478
policy,19,2,4,False,-7.04754561531605,-6.023647970863934,6.011892249524443,5.360192602314424
policy,20,2,4,False,-7.050976429783823,-6.0315092619238495,6.020441027051799,5.360180843762059
